"ADSL","balagvall_m","Balzar","","balbalbaltazar1-172.26.2.254","39","35","No","TP-Link TD-8817","64:70:02:C7:A9:28","1272300120","3","","172.26.2.189/24","192.168.1.1 /24","","Revisado","Password","","Directo",""
"ADSL","balahjamag","Balzar","","balbalbaltazar3-172.26.2.252","15","35","No","TP-Link TD-W8951ND","90:F6:52:BA:C4:A3","12482602204","2","","172.26.2.147/24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balajalavab","Balzar","","balbalbaltazar3-172.26.2.252","18","35","No","TP-Link TD-8811","D8:5D:4C:DD:32:77","10684413260","2","","172.26.2.86 / 24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balajcede","Balzar","","balbalbaltazar3-172.26.2.252","34","35","No","VisionNet M505N","F4:5F:F7:0B:CF:72","50511010007107","3","","172.26.2.104/24","10.0.0.2","","","","","Directo",""
"ADSL","balajmanzabaj2","Balzar","","balbal4deoctubre1-172.26.1.254","21","35","No","Zhone 6211","00:01:38:B4:72:2C","8255162","1","","172.26.128.2/24","192.168.1.1 / 24","","Revisado","Sin gestión remota","","B2/1",""
"ADSL","balajolve","Balzar","","balbalbaltazar3-172.26.2.252","3","35","No","VisionNet M505N","F4:5F:F7:0A:D5:AE","50511010007453","2","","172.26.2.100/24","10.0.0.2/24","","","","","B1/5",""
"ADSL","balalarau","Balzar","","balbalbaltazar3-172.26.2.252","8","35","No","VisionNet M505N","F4:5F:F7:0B:66:90","50511010007459","1","","172.26.2.105 /24","10.0.0.2","","","","","B2/9",""
"ADSL","balalespi","Balzar","","balbalciruelos1-172.26.5.254","7","35","No","TP-Link TD-8811","F8:D1:11:2D:D4:CB","11973201967","2","","172.26.5.8/24","192.168.1.1 /24","","","","","B2/3",""
"ADSL","balalmoreir","Balzar","","balbal4deoctubre1-172.26.1.254","","35","No","VisionNet M505N","F4:5F:F7:0A:DE:F0","50511010002669","2","","172.26.1.45 / 24","10.0.0.2 / 24","","","","","Directo",""
"ADSL","balamalva_m","Balzar","","balbal4deoctubre2-172.26.1.253","41","35","No","TP-Link TD-W8951ND","64:70:02:8E:67:A0","12693708832","3","","172.26.1.90/24","192.168.1.1 /24","","Revisado","Sin Password","","Directo",""
"ADSL","balamguer","Balzar","","balbalmunicipio1-172.26.4.254","32","35","No","TP-Link TD-W8901G","F8:D1:11:84:F9:94","1190900735","2","","172.26.4.34 /24","192.168.1.1 /24","","","","","A3/10",""
"ADSL","balamnavasc","Balzar","","balbal4deoctubre2-172.26.1.253","24","35","No","VisionNet M505N","F4:5F:F7:0B:80:76","50511010003298","2","","172.26.1.73 / 24","10.0.0.2","","","","","Directo",""
"ADSL","balampenah_m","Balzar","","balbalbaltazar1-172.26.2.254","","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:D1","10005068429","1","","","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balamubillab","Balzar","","balbalbaltazar1-172.26.2.254","","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:08","10005068242","2",""," / 24","192.168.1.1 / 24","","","","","B3/3",""
"ADSL","balapmorlaa","Balzar","","balbal4deoctubre1-172.26.1.254","","35","No","Zyxel P-660R-T1","404A03A46C10","10005068243","1","","","192.168.1.1 / 24","","","","","C1 /2",""
"ADSL","balapquij_m","Balzar","","balbalbarrioco2-172.26.3.253","9","35","No","TP-Link TD-W8951ND","64:70:02:8E:68:26","12693708827","3","","172.26.3.58/24","192.168.1.1 /24","","","","","B3/2",""
"ADSL","balaragua","Balzar","","balbalmunicipio1-172.26.4.254","17","35","No","TP-Link TD-8811","F4:5F:F7:0B:98:E0","50511010003297","1","","172.26.4.18/24","192.168.1.1","","","","","A3/3",""
"ADSL","balatavil","Balzar","","balbal4deoctubre2-172.26.1.253","6","35","No","TP-Link TD-8811","F8:D1:11:8B:24:A2","1167306186","2","","172.26.1.55/24","192.168.1.1","","","","","B2/5",""
"ADSL","balatcede","Balzar","","balbalbaltazar3-172.26.2.252","42","35","No","TP-Link TD-W8901G","F8:D1:11:59:D7:C5","1194904593","2","","172.26.2.141 /24","192.168.1.1 /24","","","","","B1/9",""
"ADSL","balavochoap","Balzar","","balbal4deoctubre1-172.26.1.254","12","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:0C","10005068235","1","","172.26.1.13/24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balayneir","Balzar","","balbalbaltazar1-172.26.2.254","32","35","No","TP-Link TD-W8951ND","90:F6:52:BA:CE:D1","12482602213","3","","172.26.2.33 /24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balazfajard","Balzar","","balbalmunicipio1-172.26.4.254","11","35","No","VisionNet M505N","F4:5F:F7:0B:30:8A","50511010006534","2","","172.26.4.12/24","10.0.0.2","","","","","B3/4",""
"ADSL","balbaavil_m","Balzar","","balbal4deoctubre1-172.26.1.254","37","35","No","TP-Link TD-8811","F4:EC:38:B7:68:F8","11487407128","1","","172.26.1.38/24","192.168.1.1 /24","","Revisado","Password","","D1/8",""
"ADSL","balbabono","Balzar","","balbalbaltazar3-172.26.2.252","24","35","No","Zyxel P-660R-T1","00:23:F8:C6:EC:E9","9042017866","2","","172.26.2.121 /24","192.168.1.1 /24","","","","","B3/1",""
"ADSL","balbagomezv","Balzar","","balbalmunicipio1-172.26.4.254","8","35","No","TP-Link TD-8811","D8:5D:4C:DD:32:A2","10684413250","2","","172.26.4.9 / 24","192.168.1.1","","","","","A3/1",""
"ADSL","balbariva","Balzar","","balbalbaltazar3-172.26.2.252","5","35","No","VisionNet M505N","F4:5F:F7:0B:D2:42","50511010007104","2","","172.26.2.102/24","10.0.0.2","","","","","D1/6",""
"ADSL","balbccarden","Balzar","","balbal4deoctubre2-172.26.1.253","15","35","No","TP-Link TD-8811","F4:EC:38:B7:68:0A","11487407131","1","","172.26.1.64/24","192.168.1.1","","","","","B2/9",""
"ADSL","balbechas","Balzar","","balbalbaltazar1-172.26.2.254","6","35","No","TP-Link TD-8840","D8:5D:4C:DD:30:6C","10684413249","2","","172.26.2.7 / 24","192.168.1.1 /24","","Revisado","Sin Password","","B2/2",""
"ADSL","balbeperezg","Balzar","","balbal4deoctubre2-172.26.1.253","11","35","No","TP-Link TD-8811","D8:5D:4C:DD:03:80","10684406590","1","","172.26.1.60 / 24","192.168.1.1","","","","","C2/6",""
"ADSL","balbfrome","Balzar","","balbalmunicipio1-172.26.4.254","24","35","No","TP-Link TD-8811","F8:D1:11:8B:22:B9","1167306182","2","","172.26.4.25/24","192.168.1.1","","","","","Directo",""
"ADSL","balbiramosb","Balzar","","balbalbaltazar1-172.26.2.254","12","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:B8","10005068415","1","","172.26.2.13/24","192.168.1.1 / 24","","","","","A2/6",""
"ADSL","balblsoli","Balzar","","balbal4deoctubre1-172.26.1.254","43","35","No","Zyxel P-660R-T1","00:23:F8:C6:F2:06","904209626","2","","172.26.1.44 /24","192.168.1.1 /24","","","","","B2/1",""
"ADSL","balbmmoreirap","Balzar","","balbalbarrioco1-172.26.3.254","16","35","No","TP-Link TD-8811","D8:5D:4C:DD:04:A7","10684406583","1","","172.26.3.17/24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balbpherreram","Balzar","","balbal4deoctubre1-172.26.1.254","1","35","No","Zyxel P-660R-T1","40:4A:03:A4:68:4A","10005067277","1","","172.26.1.2/24","192.168.1.1 / 24","","","","","A2/1",""
"ADSL","balbvtoba","Balzar","","balbal4deoctubre2-172.26.1.253","41","35","No","TP-Link TD-8840","D8:5D:4C:F2:3A:EF","107823703277","1","","172.26.1.90 /24","192.168.1.1 /24","","","","","B2/3",""
"ADSL","balcaarri","Balzar","","balbal4deoctubre1-172.26.1.254","17","35","No","VisionNet M505N","F4:5F:F7:0A:D8:6A","50511010002661","3","","172.26.1.18 / 24","10.0.0.2","","","","","B3/7",""
"ADSL","balcabrione","Balzar","","balbalmunicipio1-172.26.4.254","13","35","No","TP-Link TD-8811","F4:EC:38:B7:69:6C","11487407139","5","","172.26.131.3/24","192.168.1.1","","Revisado","Sin gestion remota","","C3/8",""
"ADSL","balcaceva","Balzar","","balbal4deoctubre2-172.26.1.253","26","35","No","VisionNet M404","F4:5F:F7:0B:94:C6","50511010003293","2","","172.26.1.75 /24","10.0.0.2","","","","","C2/10",""
"ADSL","balcacoelloz","Balzar","","balbalbaltazar2-172.26.2.253","","35","No","TP-Link TD-8811","D8:5D:4C:DD:32:75","10684413254","1","","172.26.2.79 / 24","192.168.1.1 / 24","","","","","A2 / 10",""
"ADSL","balcafajard","Balzar","","balbal4deoctubre1-172.26.1.254","48","35","No","VisionNet M404","F4:5F:F7:06:6D:74","40507100001076","1","","172.26.1.49 / 24","10.0.0.2","","","","","Directo",""
"ADSL","balcamaci","Balzar","","balbalbarrioco1-172.26.3.254","13","35","No","Zyxel P-660R-T1","40:4A:03:B4:8D:FA","10015028284","1","","172.26.3.14/24","192.168.1.1 /24","","","","","B3/7",""
"ADSL","balcapenah","Balzar","","balbal4deoctubre1-172.26.1.254","","35","No","Zhone 6211","00:01:38:DF:9E:37","8281331","1","","","192.168.1.1 / 24","","","","","A2 / 9",""
"ADSL","balcaproa","Balzar","","balbalbaltazar3-172.26.2.252","27","35","No","TP-Link TD-W8901G","90:F6:52:C6:FB:D5","12493707996","3","","172.26.2.155/24","192.168.1.1 /24","","","","","",""
"ADSL","balcaquez_m","Balzar","","balbalbaltazar2-172.26.2.253","14","35","No","TP-Link TD-W8901G","F8:D1:11:95:3B:AF","1178104122","2","","172.26.2.63 /24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balcatino_m","Balzar","","balbalciruelos1-172.26.5.254","23","35","No","TP-Link TD-W8951ND","64:70:02:8E:68:F8","12693708834","2","","172.26.5.24/24","192.168.1.1 /24","","Revisado","Password","","Directo",""
"ADSL","balcaurin","Balzar","","balbal4deoctubre2-172.26.1.253","11","35","No","TP-Link TD-8817","F8:D1:11:2B:07:AF","11969008663","2","","172.26.1.60/24","192.168.1.1 /24","","","","","D1/9",""
"ADSL","balcaveli","Balzar","","balbalbaltazar3-172.26.2.252","35","35","No","Zhone 6211","00:01:38:D4:5A:7E","138457","1","","172.26.2.134/24","192.168.1.1","","","","","Directo",""
"ADSL","balcavill","Balzar","","balbalbaltazar1-172.26.2.254","21","35","No","TP-Link TD-W8951ND","90:F6:52:BA:CE:AE","12482602218","3","","172.26.2.22/24","192.168.1.1 /24","","","","","E2/4",""
"ADSL","balccburgosc","Balzar","","balbal4deoctubre1-172.26.1.254","24","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:AC","10005068419","2","","172.26.1.25 / 24","192.168.100.1 / 24","","","","","Directo",""
"ADSL","balcchangop","Balzar","","balbalbaltazar1-172.26.2.254","6","35","No","VisionNet M505N","F4:5F:F7:0B:6C:D0","50511010006454","1","","172.26.2.7 / 24","10.0.0.2","","","","","E3/4",""
"ADSL","balccmendozal","Balzar","","balbal4deoctubre2-172.26.1.253","14","35","No","TP-Link TD-8811","F4:EC:38:B7:72:00","11487407132","2","","172.26.1.63/24","192.168.1.1","","","","","Directo",""
"ADSL","balccrosa","Balzar","","balbal4deoctubre1-172.26.1.254","","35","No","Zyxel P-660R-T1","00:23:F8:C6:EC:E5","90420117867","2","","","192.168.1.1 /24","","","","","B2/10",""
"ADSL","balcebrionesm","Balzar","","balbalbarrioco1-172.26.3.254","7","35","No","Zhone 6211","00:01:38:D2:25:08","8266445","1","","172.26.3.8/24","192.168.1.1 / 24","","","","","A2 / 8",""
"ADSL","balceolea_m","Balzar","","balbal4deoctubre2-172.26.1.253","36","35","No","TP-Link TD-W8951ND","A0:F3:C1:85:73:91","1279200017","1","","172.26.1.85/24","192.168.1.1/24","","Revisado","Password","","DIRECTO",""
"ADSL","balcerodasu","Balzar","","balbal4deoctubre1-172.26.1.254","32","35","No","TP-Link TD-8811","D8:5D:4C:DD:04:5C","10684406592","1","","172.26.1.33 / 24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balcezambrano_m","Balzar","","balbalbarrioco1-172.26.3.254","21","35","No","TP-Link TD-8811","D8:5D:4C:DD:30:6F","10684413244","2","","172.26.3.22/24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balcfobrego","Balzar","","balbalbarrioco1-172.26.3.254","33","35","No","VisionNet M505N","F4:5F:F7:0A:E1:EC","50511010002664","2","","172.26.3.34/24","10.0.0.2","","","","","A1/3",""
"ADSL","balcfpizar","Balzar","","balbalbaltazar2-172.26.2.253","28","35","No","TP-Link TD-8811","D8:5D:4C:DD:1A:1A","10684406597","1","","172.26.2.77 / 24","192.168.1.1 / 24","","","","","B3 / 10",""
"ADSL","balcibeltranc","Balzar","","balbalbarrioco1-172.26.3.254","10","35","No","Zhone 6211","00:01:38:B4:75:9A","8255601","1","","172.26.3.11/24","192.168.1.1 / 24","","","","","A3/3",""
"ADSL","balcjbrione","Balzar","","balbalmunicipio1-172.26.4.254","2","35","No","VisionNet M505N","F4:5F:F7:0A:DF:40","50511010004769","2","","172.26.4.3 / 24","10.0.0.2 / 24","","","","","C3/2",""
"ADSL","balcjcabrer","Balzar","","balbalbarrioco1-172.26.3.254","30","35","No","VisionNet M404","F4:5F:F7:0B:D7:65","40402110000915","2","","172.26.3.31/24","10.0.0.2 / 24","","","","","DIRECTO ",""
"ADSL","balcjhida","Balzar","","balbalciruelos1-172.26.5.254","2","35","No","TP-Link TD-8811","D8:5D:4C:E4:3A:30","10768500318","1","","172.26.5.3/24","192.168.1.1","","","","","Directo",""
"ADSL","balcjocho","Balzar","","balbalciruelos1-172.26.5.254","13","35","No","TP-Link TD-8811","D8:5D:4C:EB:D1:16","10776101247","1","","172.26.5.14/24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balcjtoma_m","Balzar","","balbalbaltazar3-172.26.2.252","22","35","No","TP-Link TD-8817","64:70:02:C7:97:4D","1272300098","1","","172.26.2.123/24","192.168.1.1/24","","Revisado","Nat","","A1/5",""
"ADSL","balclurinal","Balzar","","balbal4deoctubre2-172.26.1.253","26","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:C4","10005068411","2","","172.26.1.75/24","192.168.1.1 / 24","","","","","",""
"ADSL","balclvill","Balzar","","balbalmunicipio1-172.26.4.254","31","35","No","TP-Link TD-8817","F8:D1:11:2B:17:6B","11969008644","2","","172.26.4.33 /24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balclzamb","Balzar","","balbalbaltazar1-172.26.2.254","26","35","No","TP-Link TD-8811","F8:D1:11:8B:23:9B","11673065599","1","","172.26.2.27 / 24","192.168.1.1 /24","","","","","B1/6",""
"ADSL","balcmcruzm","Balzar","","balbalmunicipio1-172.26.4.254","22","35","No","Zyxel P-660R-T1","00:23:F8:C6:EC:E4","9042017868","","186.5.92.4/29 GW:186.5.92.1","172.26.4.23/24","192.168.1.1 /24","","","","","C3/2",""
"ADSL","balcmlarac","Balzar","","balbalbarrioco1-172.26.3.254","45","35","No","Zhone 6211","00:01:38:B4:74:06","8256693","1","","172.26.3.10 / 24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","balcmpena","Balzar","","balbalbaltazar2-172.26.2.253","8","35","No","TP-Link TD-8811","D8:5D:4C:F1:54:A4","10781210186","2","","172.26.2.57/24","192.168.1.1","","","","","C3/5",""
"ADSL","balcmtrivinoc","Balzar","","balbalmunicipio1-172.26.4.254","20","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:CC","10005068424","1","","172.26.4.21 /24","192.168.1.1 / 24","","","","","",""
"ADSL","balcmvergarap","Balzar","","balbalbaltazar2-172.26.2.253","27","35","No","TP-Link TD-8811","D85D4CDD0098","106844593","1","","172.26.2.76 / 24","192.168.1.1 / 24","","","","","D3 / 7",""
"ADSL","balcmvill_m","Balzar","","balbal4deoctubre1-172.26.1.254","25","35","No","TP-Link TD-8817","F8:D1:11:2D:D9:FD","11973201847","2","","172.26.1.26/24","192.168.1.1 /24","","Revisado","Password","","Directo",""
"ADSL","balcnrodrigueza","Balzar","","balbalbarrioco1-172.26.3.254","5","35","No","Zhone 6211","00:01:38:B4:80:4E","8256971","1","","172.26.3.6 / 24","192.168.1.1 / 24","","","","","A1/2",""
"ADSL","balcprivade","Balzar","","balbal4deoctubre1-172.26.1.254","42","35","No","VisionNet M404","F4:5F:FF:70:BD:72","40402110000917","1","","172.26.1.43 / 24","10.0.0.2","","","","","C3/1",""
"ADSL","balcptrivinoa","Balzar","","balbal4deoctubre1-172.26.1.254","22","35","Yes","Zhone 6211","00:01:38:D4:4E:4A","8268730","2","","172.26.1.23/24","192.168.1.1 / 24","","","","","B2 / 2",""
"ADSL","balcrchic","Balzar","","balbal4deoctubre1-172.26.1.254","10","35","No","TP-Link TD-W8901G","F8:D1:11:8B:25:0E","1167306560","2","","","192.168.1.2/ 24","","","","","B2/6",""
"ADSL","balcrchicas","Balzar","","balbal4deoctubre1-172.26.1.254","39","35","No","TP-Link TD-8811","D8:5D:4C:DD:1A:25","10684406599","2","","172.26.1.40 / 24","192.168.1.1 / 24","","","","","B2 / 6",""
"ADSL","balcrlimo","Balzar","","balbalmunicipio1-172.26.4.254","3","35","No","TP-Link TD-8811","F8:D1:11:2D:D7:96","11973201774","2","","172.26.4.4/24","192.168.1.1","","","","","Directo",""
"ADSL","balcvholguinm","Balzar","","balbalbaltazar1-172.26.2.254","8","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:C5","10005068421","1","","172.26.2.9 / 24","192.168.1.1 / 24","","","","","A2/5",""
"ADSL","balcyvegaa","Balzar","","balbalbarrioco1-172.26.3.254","9","35","No","TP-Link TD-8811","D8:5D:4C:E4:37:F8","10768500307","1","","172.26.3.10 / 24","192.168.1.1 /24","","","","","B3/6",""
"ADSL","baldamotalv","Balzar","","balbalbarrioco1-172.26.3.254","42","35","No","TP-Link TD-8811","F4:EC:38:B7:69:32","11487407138","2","","172.26.3.43/24","192.168.1.1","","","","","Directo",""
"ADSL","baldapere","Balzar","","balbal4deoctubre2-172.26.1.253","35","35","No","TP-Link TD-8811","F8:D1:11:2D:DD:90","11973202243","2","","172.26.1.84/24","192.168.1.1 /24","","","","","C3/9",""
"ADSL","baldasuar","Balzar","","balbal4deoctubre1-172.26.1.254","40","35","No","Zyxel P-660R-T1","00:23:F8:C6:F2:12","9042019629","2","","172.26.1.41/24","192.168.1.1 /24","","","","","C1/2",""
"ADSL","baldbmend_m","Balzar","","balbalbaltazar2-172.26.2.253","33","35","No","TP-Link TD-8811","F4:EC:38:B7:69:06","11487407115","2","","172.26.2.82/24","192.168.1.1/24","","Revisado","Bridge","","A3/2",""
"ADSL","balddcarn","Balzar","","balbalbaltazar2-172.26.2.253","3","35","No","TP-Link TD-8817","F8:D1:11:2D:D7:90","11973201772","1","","172.26.2.52/24","192.168.1.1 /24","","","","","C2/10",""
"ADSL","baldetrivin","Balzar","","balbalbarrioco1-172.26.3.254","41","35","No","VisionNet M505N","F4:5F:F7:0B:25:7C","50511010006537","2","","172.26.3.42 / 24","10.0.0.2","","","","","Directo",""
"ADSL","baldeyanz","Balzar","","balbal4deoctubre2-172.26.1.253","44","35","No","TP-Link TD-8811","F8:D1:11:2D:DA:9A","11973201788","2","","172.26.1.93 /24","192.168.1.1","","","","","Directo",""
"ADSL","baldgcast","Balzar","","balbalbarrioco2-172.26.3.253","5","35","No","TP-Link TD-W8951ND","64:70:02:8E:65:95","12693708533","3","","172.26.3.54/24","192.168.1.1 /24","","Revisado","Sin Gestion Remota","","Directo",""
"ADSL","baldhronq_m","Balzar","","balbal4deoctubre1-172.26.1.254","23","35","No","TP-Link TD-W8901G","F4:EC:38:EA:71:85","1145102832","1","","172.26.1.24/24","192.168.1.1/24","","Revisado","Nat","","A3/1",""
"ADSL","baldmacia","Balzar","","balbalbarrioco1-172.26.3.254","18","35","No","TP-Link TD-8811","D8:5D:4C:DD:33:CD","10684413241","1","","172.26.3.19 / 24","192.168.1.1","","","","","Directo",""
"ADSL","baldmbrionesv","Balzar","","balbalbaltazar1-172.26.2.254","19","35","No","Zyxel P-660R-T1","40:4A:03:A4:68:68","10005067288","1","","172.26.2.20/24","192.168.1.1 / 24","","Revisado","Nat","","A2/10",""
"ADSL","baldmcarb","Balzar","","balbalbarrioco1-172.26.3.254","26","35","No","TP-Link TD-8811","F8:D1:11:59:D7:C9","1194904582","2","","172.26.3.27/24","192.168.1.1 /24","","","","","A2/10",""
"ADSL","baldmverap","Balzar","","balbal4deoctubre2-172.26.1.253","33","35","No","Zyxel P-660R-T1","40:4A:03:B4:8E:0F","10015028289","1","","172.26.1.82/24","192.168.1.1 /24","","","","","A2/9",""
"ADSL","baldrarauzm","Balzar","","balbalbaltazar1-172.26.2.254","25","35","No","Zyxel P-660R-T1","40:4A:03:A4:6C:CD","10005068426","2","","172.26.2.26 / 24","192.168.1.1 / 24","","","","","A3/4",""
"ADSL","baldwrendonc","Balzar","","balbalbarrioco1-172.26.3.254","31","35","No","VisionNet M404","F4:5F:F7:06:69:99","40507100001077","1","","172.26.3.32 / 24","10.0.0.2","","","","","A3/8",""
"ADSL","baldxguer_m","Balzar","","balbalbaltazar3-172.26.2.252","23","35","No","TP-Link TD-W8951ND","64:70:02:8E:67:95","12693708840","1","","172.26.2.92/24","192.168.1.1/24","","Revisado","Nat","","B2/8",""
"ADSL","baleaespi","Balzar","","balbalbaltazar3-172.26.2.252","16","35","No","TP-Link TD-W8901G","F4:EC:38:EA:71:85","1145102832","2","","172.26.2.109/24","192.168.1.1","","","","","C2/8",""
"ADSL","baleaoliv","Balzar","","balbalmunicipio1-172.26.4.254","7","35","No","VisionNet M505N","F4:5F:F7:0A:DC:20","50511010007457","2","","172.26.4.8/24","10.0.0.2","","","","","Directo",""
"ADSL","baleatron","Balzar","","balbalciruelos1-172.26.5.254","18","35","No","TP-Link TD-8817","F4:EC:38:9C:65:EF","11586419012","2","","172.26.5.19/24","192.168.1.1 /24","","","","","A3/3",""
"ADSL","baleazamb","Balzar","","balbalbaltazar2-172.26.2.253","12","35","No","TP-Link TD-8817","F4:EC:38:9C:65:8A","11586419008","2","","172.26.2.61/24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balebmorao_m","Balzar","","balbalbaltazar1-172.26.2.254","1","35","No","TP-Link TD-8817","F8:D1:11:2D:DD:90","11973202243","2","","172.26.2.2/24","192.168.1.1 /24","","Revisado","Password","","A2/6",""
"ADSL","balecgonzal","Balzar","","balbalbaltazar1-172.26.2.254","25","35","No","VisionNet M505N","F4:5F:F7:0B:CF:0C","50511010007108","1","","172.26.2.26 / 24","10.0.0.2","","","","","A1/1",""
"ADSL","balectrivinoi","Balzar","","balbalbarrioco1-172.26.3.254","3","35","No","TP-Link TD-8811","D8:5D:4C:EB:C9:30","10776101257","2","","172.26.3.4/24","192.168.1.1 / 24","","","","","Directo",""
"ADSL","baledvalenciac","Balzar","","balbalbaltazar1-172.26.2.254","16","35","No","TP-Link TD-8811","D8:5D:4C:DD:04:50","10684406594","2","","172.26.2.17 / 24","192.168.1.1 / 24","","","","","C3 / 5",""
"ADSL","baleeholg_m","Balzar","","balbalbarrioco2-172.26.3.253","3","35","No","TP-Link TD-W8901G","F8:D1:11:7F:8B:A3","1190900732","3","","172.26.3.52/24","192.168.1.1 /24","","","","","Directo",""
"ADSL","baleeparr","Balzar","","balbalbaltazar1-172.26.2.254","11","35","No","Zyxel P-660R-T1","40:4A:03:B4:8D:F7","10015028285","1","","172.26.2.12 /24","","","","","","B3/1",""
"ADSL","baleeyepe","Balzar","","balbalciruelos1-172.26.5.254","16","35","No","TP-Link TD-W8901G","F8:D1:11:7F:8B:E5","1190900731","2","","172.26.5.17/24","192.168.1.1 /24","","","","","Directo",""
"ADSL","balefangu","Balzar","","balbalciruelos1-172.26.5.254","14","35","No","TP-Link TD-8811","F8:D1:11:78:A4:0E","1182801248","1","","172.26.5.15 /24","192.168.1.1 /24","","","","","B1/2",""
